ma,ten
DAN1242,ĐH chính quy - ngành Ngôn ngữ Anh - K.24 - Lớp 2
DVI1221,ĐH chính quy - ngành Việt Nam học - K.22 - Lớp 1
DGT1231,ĐH chính quy - ngành Giáo dục Tiểu học - K.23 - Lớp 1
DLD1241,ĐH chính quy - ngành SP Lịch sử - Địa lý - K.24 - Lớp 1
DTL1242,ĐH chính quy - ngành Tâm lí học - K.24 - Lớp 2
DGM1221,ĐH chính quy - ngành Giáo dục Mầm non - K.22 - Lớp 1
DGM1222,ĐH chính quy - ngành Giáo dục Mầm non - K.22 - Lớp 2
DQG1221,ĐH chính quy - ngành Quản lý Giáo dục - K.22 - Lớp 1
DDV1231,ĐH chính quy - ngành Kỹ thuật điện tử - viễn thông - K.23 - Lớp 1
DKH1221,ĐH chính quy - ngành SP Khoa học tự nhiên - K.22 - Lớp 1
DKE1235,ĐH chính quy - ngành Kế toán - K.23 - Lớp 5
DQK1215,ĐH chính quy - ngành Quản trị kinh doanh - K.21 - Lớp 5
DKQ1221,ĐH chính quy - ngành Kinh doanh quốc tế - K.22 - Lớp 1
DQK1224,ĐH chính quy - ngành Quản trị kinh doanh - K.22 - Lớp 4
DQK1223,ĐH chính quy - ngành Quản trị kinh doanh - K.22 - Lớp 3
DQK1225,ĐH chính quy - ngành Quản trị kinh doanh - K.22 - Lớp 5
DQK1226,ĐH chính quy - ngành Quản trị kinh doanh - K.22 - Lớp 6
DKD1231,"ĐH chính quy - ngành CN Kĩ thuật điện, điện tử - K.23 - Lớp 1"
DQK1241,ĐH chính quy - ngành Quản trị kinh doanh - K.24 - Lớp 1
DVA1241,ĐH chính quy - ngành SP Ngữ văn - K.24 - Lớp 1
DAN1246,ĐH chính quy - ngành Ngôn ngữ Anh - K.24 - Lớp 6
DTN1232,ĐH chính quy - ngành Tài chính - Ngân hàng - K.23 - Lớp 2
DKQ1231,ĐH chính quy - ngành Kinh doanh quốc tế - K.23 - Lớp 1
DSU1211,ĐH chính quy - ngành SP Lịch sử - K.21 - Lớp 1
DCT1223,ĐH chính quy - ngành Công nghệ thông tin - K.22 - Lớp 3
DTN1242,ĐH chính quy - ngành Tài chính - Ngân hàng - K.24 - Lớp 2
DQK1232,ĐH chính quy - ngành Quản trị kinh doanh - K.23 - Lớp 2
DAN1223,ĐH chính quy - ngành Ngôn ngữ Anh - K.22 - Lớp 3
DAN1224,ĐH chính quy - ngành Ngôn ngữ Anh - K.22 - Lớp 4
DAN1222,ĐH chính quy - ngành Ngôn ngữ Anh - K.22 - Lớp 2
DAN1221,ĐH chính quy - ngành Ngôn ngữ Anh - K.22 - Lớp 1
DTT1211,ĐH chính quy - ngành Thông tin - Thư viện - K.21 - Lớp 1
DGD1241,ĐH chính quy - ngành Giáo dục Chính trị - K.24 - Lớp 1
DTU1231,ĐH chính quy - ngành Toán ứng dụng - K.23 - Lớp 1
DCT1233,ĐH chính quy - ngành Công nghệ thông tin - K.23 - Lớp 3
DGM1231,ĐH chính quy - ngành Giáo dục Mầm non - K.23 - Lớp 1
DTN1245,ĐH chính quy - ngành Tài chính - Ngân hàng - K.24 - Lớp 5
DKE1231,ĐH chính quy - ngành Kế toán - K.23 - Lớp 1
DDU1231,ĐH chính quy - ngành Khoa học dữ liệu - K.23 - Lớp 1
DKM1231,ĐH chính quy - ngành Khoa học môi trường - K.23 - Lớp 1
DTN1234,ĐH chính quy - ngành Tài chính - Ngân hàng - K.23 - Lớp 4
DCT1224,ĐH chính quy - ngành Công nghệ thông tin - K.22 - Lớp 4
DGD1221,ĐH chính quy - ngành Giáo dục Chính trị - K.22 - Lớp 1
DKE1241,ĐH chính quy - ngành Kế toán - K.24 - Lớp 1
DQV1221,ĐH chính quy - ngành Quản trị văn phòng - K.22 - Lớp 1
DCT1232,ĐH chính quy - ngành Công nghệ thông tin - K.23 - Lớp 2
DHO1221,ĐH chính quy - ngành SP Hóa - K.22 - Lớp 1
DLU1212,ĐH chính quy - ngành Luật - K.21 - Lớp 2
DKM1241,ĐH chính quy - ngành Khoa học môi trường - K.24 - Lớp 1
DQK1211,ĐH chính quy - ngành Quản trị kinh doanh - K.21 - Lớp 1
DQK1233,ĐH chính quy - ngành Quản trị kinh doanh - K.23 - Lớp 3
DDV1241,ĐH chính quy - ngành Kỹ thuật điện tử - viễn thông - K.24 - Lớp 1
DDE1241,ĐH chính quy - ngành Kỹ thuật điện - K.24 - Lớp 1
DKD1241,"ĐH chính quy - ngành CN Kĩ thuật điện, điện tử - K.24 - Lớp 1"
DTT1231,ĐH chính quy - ngành Thông tin - Thư viện - K.23 - Lớp 1
DQT1221,ĐH chính quy - ngành Quốc tế học - K.22 - Lớp 1
DQV1222,ĐH chính quy - ngành Quản trị văn phòng - K.22 - Lớp 2
DQT1222,ĐH chính quy - ngành Quốc tế học - K.22 - Lớp 2
DQG1231,ĐH chính quy - ngành Quản lý Giáo dục - K.23 - Lớp 1
DCT1221,ĐH chính quy - ngành Công nghệ thông tin - K.22 - Lớp 1
DDE1211,ĐH chính quy - ngành Kỹ thuật điện - K.21 - Lớp 1
DKP1241,ĐH chính quy - ngành Kỹ thuật phần mềm - K.24 - Lớp 1
DDL1231,ĐH chính quy - ngành Du lịch - K.23 - Lớp 1
DTL1222,ĐH chính quy - ngành Tâm lí học - K.22 - Lớp 2
DGT1223,ĐH chính quy - ngành Giáo dục Tiểu học - K.22 - Lớp 3
DTL1221,ĐH chính quy - ngành Tâm lí học - K.22 - Lớp 1
DGT1222,ĐH chính quy - ngành Giáo dục Tiểu học - K.22 - Lớp 2
DQK1213,ĐH chính quy - ngành Quản trị kinh doanh - K.21 - Lớp 3
DTN1241,ĐH chính quy - ngành Tài chính - Ngân hàng - K.24 - Lớp 1
DDI1231,ĐH chính quy - ngành SP Địa lý - K.23 - Lớp 1
DTL1211,ĐH chính quy - ngành Tâm lí học - K.21 - Lớp 1
DAN1244,ĐH chính quy - ngành Ngôn ngữ Anh - K.24 - Lớp 4
DKH1241,ĐH chính quy - ngành SP Khoa học tự nhiên - K.24 - Lớp 1
DCT1212,ĐH chính quy - ngành Công nghệ thông tin - K.21 - Lớp 2
DKE1211,ĐH chính quy - ngành Kế toán - K.21 - Lớp 1
DKM1221,ĐH chính quy - ngành Khoa học môi trường - K.22 - Lớp 1
DCT1242,ĐH chính quy - ngành Công nghệ thông tin - K.24 - Lớp 2
DAN1241,ĐH chính quy - ngành Ngôn ngữ Anh - K.24 - Lớp 1
DSU1221,ĐH chính quy - ngành SP Lịch sử - K.22 - Lớp 1
DGT1241,ĐH chính quy - ngành Giáo dục Tiểu học - K.24 - Lớp 1
DKI1241,ĐH chính quy - ngành Kiểm toán - K.24 - Lớp 1
DCT1231,ĐH chính quy - ngành Công nghệ thông tin - K.23 - Lớp 1
DCT1225,ĐH chính quy - ngành Công nghệ thông tin - K.22 - Lớp 5
DKP1222,ĐH chính quy - ngành Kỹ thuật phần mềm - K.22 - Lớp 2
DCT1226,ĐH chính quy - ngành Công nghệ thông tin - K.22 - Lớp 6
DCV1221,ĐH chính quy - ngành CN kỹ thuật điện tử - viễn thông - K.22 - Lớp 1
DTT1221,ĐH chính quy - ngành Thông tin - Thư viện - K.22 - Lớp 1
DMI1231,ĐH chính quy - ngành SP Mỹ thuật - K.23 - Lớp 1
DTN1233,ĐH chính quy - ngành Tài chính - Ngân hàng - K.23 - Lớp 3
DLU1232,ĐH chính quy - ngành Luật - K.23 - Lớp 2
DAN1236,ĐH chính quy - ngành Ngôn ngữ Anh - K.23 - Lớp 6
DGD1211,ĐH chính quy - ngành Giáo dục Chính trị - K.21 - Lớp 1
DLU1241,ĐH chính quy - ngành Luật - K.24 - Lớp 1
DDV1211,ĐH chính quy - ngành Kỹ thuật điện tử - viễn thông - K.21 - Lớp 1
DCV1211,ĐH chính quy - ngành CN kỹ thuật điện tử - viễn thông - K.21 - Lớp 1
DKD1211,"ĐH chính quy - ngành CN Kĩ thuật điện, điện tử - K.21 - Lớp 1"
DDL1222,ĐH chính quy - ngành Du lịch - K.22 - Lớp 2
DLU1221,ĐH chính quy - ngành Luật - K.22 - Lớp 1
DLU1223,ĐH chính quy - ngành Luật - K.22 - Lớp 3
DKE1212,ĐH chính quy - ngành Kế toán - K.21 - Lớp 2
DAN1245,ĐH chính quy - ngành Ngôn ngữ Anh - K.24 - Lớp 5
DLU1213,ĐH chính quy - ngành Luật - K.21 - Lớp 3
DKE1243,ĐH chính quy - ngành Kế toán - K.24 - Lớp 3
DNH1231,ĐH chính quy - ngành SP Âm nhạc - K.23 - Lớp 1
DDI1241,ĐH chính quy - ngành SP Địa lý - K.24 - Lớp 1
DHA1241,ĐH chính quy - ngành QT nhà hàng và dịch vụ ăn uống - K.24 - Lớp 1
DKE1234,ĐH chính quy - ngành Kế toán - K.23 - Lớp 4
DCT1243,ĐH chính quy - ngành Công nghệ thông tin - K.24 - Lớp 3
DSA1221,ĐH chính quy - ngành SP Tiếng Anh - K.22 - Lớp 1
DLU1211,ĐH chính quy - ngành Luật - K.21 - Lớp 1
DVI1224,ĐH chính quy - ngành Việt Nam học - K.22 - Lớp 4
DVI1222,ĐH chính quy - ngành Việt Nam học - K.22 - Lớp 2
DKQ1222,ĐH chính quy - ngành Kinh doanh quốc tế - K.22 - Lớp 2
DVI1223,ĐH chính quy - ngành Việt Nam học - K.22 - Lớp 3
DLU1242,ĐH chính quy - ngành Luật - K.24 - Lớp 2
DCT1235,ĐH chính quy - ngành Công nghệ thông tin - K.23 - Lớp 5
DMI1241,ĐH chính quy - ngành SP Mỹ thuật - K.24 - Lớp 1
DLD1221,ĐH chính quy - ngành SP Lịch sử - Địa lý - K.22 - Lớp 1
DHO1231,ĐH chính quy - ngành SP Hóa - K.23 - Lớp 1
DAN1234,ĐH chính quy - ngành Ngôn ngữ Anh - K.23 - Lớp 4
DKP1231,ĐH chính quy - ngành Kỹ thuật phần mềm - K.23 - Lớp 1
DKQ1242,ĐH chính quy - ngành Kinh doanh quốc tế - K.24 - Lớp 2
