ma,ten,ten_eg
809327,Thi pháp học với việc phân tích tác phẩm văn chương trong nhà trường,
811054,Địa lý kinh tế - xã hội đại cương 2,                              
846313,Tổ chức cơ sở giáo dục,
833512,Quản trị nguồn nhân lực,
858005,Lý thuyết xác suất,
817066,Sáng tác 3,                              
821403,Toán cho sư phạm khoa học tự nhiên 2,
803065,Thực hành hóa lý,                              
811056,Địa lý tự nhiên các lục địa 2,                              
841099,Khóa luận tốt nghiệp (DCT),                              
834463,Ứng dụng Quản lý môi trường dựa vào cộng đồng,
809423,Phương pháp dạy học Ngữ văn 1 ,
810430,Chính sách đối ngoại và hợp tác quốc tế của Việt Nam từ sau chiến tranh lạnh đến nay,
816507,Lịch sử âm nhạc Phương Tây,
836508,Thống kê trong công tác văn phòng,
836301,Kỹ năng thuyết trình,                              
809416,Văn học đô thị miền Nam (1954-1975),
858002,Giải tích hàm nhiều biến (KHDL),
820436,Tìm hiểu thực tế hoạt động của hệ thống chính trị,
821416,Hóa hữu cơ,
849411,Kỹ thuật cao áp và chống sét,
