ma,ten,ten_eg
841058,Hệ điều hành mã nguồn mở,                              
834426,Quan trắc và sinh vật chỉ thị môi trường,
832058,Tài chính doanh nghiệp 1,                              
841047,Công nghệ phần mềm,                              
820403,Lí luận về nhà nước và pháp luật Việt Nam,
863408,Tổ chức HĐ dạy học & GD ở trường trung học,
832107,Lý thuyết tài chính tiền tệ,                              
836419,Hệ thống ISO trong văn phòng,
835305,Văn hóa Phương Đông - Phương Tây,
842401,Đầu tư tài chính,
864002,Xác suất thống kê B,                              
803403,Các phương pháp xử lí số liệu thực nghiệm,
843067,Pháp luật về Thanh tra,                              
849405,Cung cấp điện,
834458,Bố trí thí nghiệm và thống kê môi trường,
864006,Giải tích 2,                              
833313,Giao tiếp trong kinh doanh,
833320,Phương pháp nghiên cứu khoa học trong kinh doanh,
816418,Nhạc cụ 1,
850008,Vật lý A2,                              
832025,AV chuyên ngành kế toán,                              
832026,Thuế,                              
839312,Thư viện Đại học,
846307,Xã hội học giáo dục,
846311,Lao động và nhân cách của người chuyên viên QLGD và hành chính giáo dục,
833101,Quản trị chiến lược,                              
841107,Lập trình Java,                              
841422,Ngôn ngữ lập trình Python,
835104,Văn hóa doanh nghiệp,                              
833405,Quan hệ công chúng,
851003,Thực hành kỹ thuật điện,                              
861302,Kinh tế chính trị Mác - Lênin,
835029,Phát triển du lịch bền vững,                              
841109,Cơ sở dữ liệu,                              
866103,Tiếng Anh III,                              
833303,Hành vi tổ chức,
841480,Xây dựng phần mềm theo mô hình phân lớp (2020),
819413,PPNC khoa học giáo dục mầm non,
832301,Marketing căn bản,
811406,Địa lí kinh tế - xã hội thế giới 1,
822401,Nhân học và Khảo cổ học đại cương,
857506,Du lịch bền vững,
853417,Phát triển nguồn nhân lực ngành Tâm lý học,
806060,Vi sinh vật học,                              
833408,"Tuyển dụng, đào tạo và phát triển nguồn nhân lực",
850310,Thiết kế vi mạch số,
813311,Chuyên đề các bài thi quốc tế,
821415,Hoá vô cơ ,
820435,Thực hành sư phạm 4,
815322,Ứng dụng CNTT trong dạy học ở Tiểu học,
809411,Hệ thống thể loại và ngôn ngữ văn học trung đại Việt Nam,
850038,Đo lường cảm biến và điều khiển dùng máy tính,                              
832117,Kiểm toán hoạt động,                              
834422,Quy hoạch môi trường,
806401,Sinh hóa học,
832062,Tổ chức công tác kế toán,                              
821419,Phát triển chương trình trong dạy học môn KHTN,
813102,Tiếng Pháp 1,                              
833407,Khóa luận tốt nghiệp (DQK),
810418,Lịch sử hình thành và phát triển ASEAN,
